الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
ماذا حدث للثقافة في مص..,جلال أمين,2019,الكرمة للنشر والتوزيع,مقالات,"من اللافت للنظر أن الفترة من 1914 – 1945 من تاريخ الثقافة المصرية لم تشهد فقط قفزة جبارة فى الكتابة الأدبية والتاريخية، بل وفي مختلف أنواع الفنون: المسرح، والسينما، والموسيقي، والغناء، والنحت. كما نلاحظ أنه في كل هذه الفروع. جمع المثقفون والفنانون المصريون بين احترامهم لتراثهم وبين تقديرهم للأساليب",272
أخي العزيز - مراسلات ح..,كمال صلاح أمين,2021,الكرمة للنشر والتوزيع,أدب,"هذا كتاب نادر واستثنائي!من حُسن حظنا أن المفكرَين الكبيرَين حسين وجلال أمين، ابنَي الكاتب الكبير أحمد أمين، احتفظا بخطاباتهما المتبادلة منذ أن كانا في عقدهما الثاني من العمر حتى عقدهما السادس، فسجلت رسائلهما ما شهدته تلك الفترة من تغيرات في شخصيتيهما وتطور في أفكارهما.يحتوي هذا الجزء الممتع على",40
ما لا يمكن إصلاحه,هيثم الورداني,2020,الكرمة للنشر والتوزيع,أدب,"هناك أشياء تنتهي، وتذوي، وتعطب. تُعطَّل حياتنا ولا ننجح في إصلاحها مهما حاولنا. ربما يفتح لنا قبول هذا الفساد والانهيار طريقًا لرؤية الإمكانيات الغائبة، التي قد تتكشّف واحدة إثر أخرى وراء هذا العطب أو ""ما لا يمكن إصلاحه"".هذه القصص الملهمة لهيثم الورداني، تدور حول تلك الصدوع التي نحاول ترميمها،",40
مذكرات جندي مصري في جب..,أحمد حجي,2014,الكرمة للنشر والتوزيع,مذكرات,"• «مذكرات بسيطة مضيئة بهذا الحب للوطن... أغنية حزينة قصيرة عن حرب عظيمة منسية، وأبطال أسطوريين، أصلهم من الفلاحين البسطاء» علاء الديب• «تسجيل حي من معايشة الأحداث في الجبهة... توثيق تاريخي هام، يظل حيًّا أبدًا في ذاكرة شعبنا العظيم» طاهر عبد الحكيم«منذ أن وصلت إلى جبهة القتال في الخط الأمامي",44
بيت سري,عثمان صبري,2017,الكرمة للنشر والتوزيع,روايات,"• «على الرغم مما قد يوحي به هذا العنوان غير الوقور لهذه الرواية، فإني قد أعجبت بما احتوت عليه من أفكار في شتى شؤون الدين والدنيا داخل إطارها الزاخر بألوان المتعة والتسلية. ولا غرو في ذلك فهي بقلم زميل قديم من رجال القضاء، والمعروفين بالفكر الناضج والثقافة الواسعة» توفيق الحكيم• «مؤلف هذه الرواية",40
حديث شخصي,بدر الديب,2015,الكرمة للنشر والتوزيع,أدب,"• «بدر الديب هو أكبر مثقف مصري» أحمد بهاء الدين• «قصص جارحة، كما يكون الصدق جارحًا. فإن كنت قد سئمت الكذب واشتقت إلى عذاب الحقيقة فهذا هو المطهِّر.. روحك سوف تنزف من أول سطر تقرأه.. وستظل (هذه القصص).. قلقًا دائمًا بعد أن تفرغ من قراءتها.. درسًا في الشجاعة» شكري محمد عياد• «لا أعرف كاتبًا عربيًّ",36
إجازة تفرغ,بدر الديب,2015,الكرمة للنشر والتوزيع,روايات,"• «إحدى دُرر الرواية العربية» السفير• «تكاد تكون فريدة في السرد العربي.. تكشف بصورة نادرة في الرواية العربية إشكاليات الفنان في واقعه المأزوم، والثمن الذي يدفعه نتيجة تفرد رؤاه التي قد يدهسها المجتمع ويقصيها.. كل أعمال بدر الديب مشغولة بالسؤال الفلسفي العميق والذي ربما يبدو صادمًا وغريبًا بالنسبة",29
ملك من شعاع,عادل كامل,2014,الكرمة للنشر والتوزيع,أدب,"• «من طليعة كُتاب جيلنا بغير جدال» نجيب محفوظ• «أديب موهوب نابغ... رواية بديعة... تتجلى فيها موهبة عادل كامل المتفجرة» رجاء النقاش• «كاتب عبقري» خيري شلبي• «رواية رائعة» محمد المنسي قنديل• «أجمل ما كُتب عن أخناتون» أحمد عباس صالحنبذةالأمير أمنحتب الرابع ولي عهد مملكة شاسعة، يحكمها ال",32
مليم الأكبر,عادل كامل,2014,الكرمة للنشر والتوزيع,أدب,"• «كاتب مبدع... من طليعة كتاب جيلنا بغير جدال» نجيب محفوظ• «ميلاد عملاق... صيحة مدوية... شعلة لا تنطفئ» خيري شلبي• «كتابة ترتاد المجهول لتحقيق بنية جمالية حديثة» أمين ريان• «رواية بديعة» أحمد عباس صالحنشأ مليم يجول الحي بصحبة أبيه، بائع الجرائد ثم الزهور والمخدرات. حياة هانئة حرة قضاها ملي",32
‫الشمندورة,محمد خليل قاسم,2016,الكرمة للنشر والتوزيع,روايات,"• «الشمندورة من أعظم روايات القرن العشرين، وفي صدارة الأعمال المكتوبة باللغة العربية. وعدم تقلدها المكانة الحقيقية لها دلالة على وجود خلل في الحياة الثقافية المصرية والعربية» خيري شلبي• «رغم موضوعها الخاص المحدد، هي تعبير عن رؤية إنسانية شاملة... تجمع بين الخاص والعام، بين الوطني والقومي والإنسا",28
دنقلا,إدريس على,2014,الكرمة للنشر والتوزيع,روايات,"رواية إدريس علي المؤلمة والصادقة عن مأساة النوبيين، تدور حول عوض شلالي الذي ناضل لسنوات مع المصريين من أجل الحرية ورفع الظلم، فيقضي عشرة أعوام في عذاب السجون المصرية، وعندما يهرب إلى السودان يحاول إعادة مجد مملكة كوش النوبية وعاصمتها المتألقة دنقلا، ولكنه يواجه بتوجس النوبيين أنفسهم من مشروعه، فيساف",58
أوراق شخصية,لطيفة الزيات,2016,الكرمة للنشر والتوزيع,تراجم وسير,"تنشغل أوراق شخصية وهى لون غير تقليدى وأشبه بالروائى من السيرة الذاتية، بقضية الحرية فى أكثر من اتجاه.. سعى إلى الحرية يصيب أحيانًا، ويخيب أحيانًا، نتيجة مجموعة القيم والسلوكيات الزائفة التى نرزح تحت وطأتها، ونتيجة لقصورات فى شخصية يتناوبها الإقدام والإحجام، الجرأة والخوف اختيار الأصعب والأستسلام إلى",28
صاحب البيت,لطيفة الزيات,2019,الكرمة للنشر والتوزيع,روايات,"""رواية قصيرة محكمة... عمل رائع... تُقدِّم تاريخ حياة امرأة بالحب والحنان والرغبة فيه، زوجة أحبَّت حتى ذابت في عالم لا يفهم الأقوياء فيه الضعفاء"". «علاء الديب»""في صاحب البيت تعيش البطلة وهم المُطلقات: الحب المطلق، والسعادة المُطلقة، والحرية المُطلقة"". «رضوى عاشور»",28
الباب المفتوح,لطيفة الزيات,2015,الكرمة للنشر والتوزيع,روايات,"ليلى فتاة ذكية، ومليئة بالحيوية، تعيش في مجتمع تقليدي لا ينتظر من المرأة إلا الخنوع والطاعة. ولكن ليلى غير مستعدة للتسليم بسهولة، فتناضل من أجل أن تحصل على حريتها كإنسانة، كما تنخرط في الحركة الوطنية من أجل أن تحرر بلادها أيضًا. وبينما تغلي مصر وتثور خلال أربعينيات وخمسينيات القرن العشرين فتواجه الع",36
السلطنة,خليل حسن خليل,2019,الكرمة للنشر والتوزيع,أدب,"في «السلطنة» وهي الجزء الثالث من «ثلاثية الوسية» التي تُعدُّ واحدة من أجمل السير الروائية العربية، نتابع قصة بطلنا المثيرة، وما حدث للشعب المصري فى فترة السبيعينيات التي تغيرت فيها بوصلة البلاد تمامًا، بينما خليل حسن خليل يتناول السؤال المهم: هل تغيرت «الوسية» حقًا؟«ثلاثية الوسية»، التي تشمل،: «",40
الوارثون,خليل حسن خليل,2019,الكرمة للنشر والتوزيع,أدب,"في «الوارثون» وهي الجزء الثاني من «ثلاثية الوسية» التي تُعدُّ واحدة من أجمل السير الروائية العربية، يحكي لنا خليل حسن عن مصر بعد عام 1952، وهي فترة من أخطر الفترات التي مرت بها مصر.في صورة أدبية غاية في الإمتاع والتأثير نتابع رحلة بطلنا الذي سافر إلى إنجلترا ليكمل تعليمه، وما لاقاه في سبيل ذلك، وم",34
الوسية,خليل حسن خليل,2019,الكرمة للنشر والتوزيع,أدب,"«الوسية» واحدة من أجمل السير الروائية العربية، كتبها خليل حسن خليل ليرصد فيها أحوال الناس والسُلطة، والمُلاك والعبيد، والأرض والانتماء، والحراك الاجتماعي وعوامل التغيير، وليؤرخ فيها لمصر في العهد الملكي اجتماعيًّا وسياسيًّا، كاشفًا مجتمع المستغلين الطفيليين الذي جعل البلاد «وسية» يتسلط فيها المُلاك",34
قاهر الزمن,نهاد شريف,2019,الكرمة للنشر والتوزيع,أدب,"في فيلَّا منعزلة في مدينة حلوان، يقوم الدكتور حليم صبرون ومساعدوه بتجارب سرَّية لا يعرف عنها العالم الخارجي شيئًا. وعندما يبدأ بعض المرضي في الاختفاء من مستشفي الدكتور حليم في ظروف غامضة، يحاول الصحفي كامل بهنسي حل اللغز، فينجح في دخول الفيلًا، ويصبح مساعدًا للدكتور، وإذا به يكتشف أن أبحاث الدكتور و",230
ليلة القبض على فاطمة -..,سكينة فؤاد,2021,الكرمة للنشر والتوزيع,أدب,"""قلم مصري نادر وشريف""أحمد رجب.. نص كلمة، جريدة الأخبار""تجديد في لغة القصة...أثر أدبي""جريدة الشرق الأوسط،""بلا شك علامة على طريق تطور الأدب الروائي العربي، ونموذج مبتكر لرؤية جديدة متطورة للمرأة وعالمها، كما أنها تخطو بتكنيك القصة وأسلوبها خطو ",285
نبش الغراب في واحة الع..,محمد مستجاب,2021,الكرمة للنشر والتوزيع,أدب,"«محمد مستجاب من الروائيين العظماء»أمير تاج السر«مستجاب من أهم الكُتَّاب، وله قراءات رائعة في التراث العربي، لأنه كان يقرأها بعين الفنان والكاتب القصصي، وهذه القراءات أثرت ثقافة القاريء العربي عبر 15 سنة أخيرة في مجلة العربي»د. حامد أبو أحمد«محمد مستجاب: أدب السخرية الضاحك الجاد والع",265
نبش الغراب في واحة الع..,محمد مستجاب,2021,الكرمة للنشر والتوزيع,أدب,"«أحيانًا يُذكِّرني صديقي محمد مستجاب بالسحرة»صبري موسي«كتاباته مراوغة في المعالجة والسخرية، والواقعية السحرية خصوصية لا ينافسه فيها أحد»د. جابر عصفور«محمد مستجاب واحد من أهم كُتَّاب جيل الستينيات»د. طه وادي«عالم خاص وجديد يحمله محمد مستجاب... يحاول في إصرار وصلابة كسر الدائرة",250
الاعتداء,هارى موليش,2017,الكرمة للنشر والتوزيع,أدب,"في أواخر الحرب العالمية الثانية، وبينما هولندا ما زالت محتلة، تقتل مجموعة من المقاومين شرطيًّا عميلًا، وتنتهي الجثة لسبب غامض أمام منزل عائلة «ستينفايك»، فيحرق الألمان المنزل ولا ينجو من العائلة إلا «أنطون»، ابن الاثني عشر عامًا. بعد ذلك بسنوات، يصبح «أنطون» طبيبًا يعيش حياة هادئة ويتعمد النسيان، إل",167
الوعد,فريدريش دورنمات,2017,الكرمة للنشر والتوزيع,أدب,"فاتنة(( الواشنطن بوست )) (( دس السيد (( دورنمات )) في روايته القصيرة بعض الأسئلة الأخلاقية المحيرة )) ((أتلانتك منثلي )) تُقتل فتاة صغيرة في بلدة في سويسرا، فيَعِد المخبر والدة الضحية بأنه سوف يعثر على الجاني. وبعد أن يقرر أن الرجل الخطأ قد اعتُقل، ينصب فخًا للقاتل الحقيقي، إلا أن المنعطفات القاسية",230
الإوزة البرية,أوجاى مورى,2017,الكرمة للنشر والتوزيع,أدب,"يُقدِّم الروائي الياباني البارز (( أوجاي موري )) في (( الإوزة البرية )) قصة مؤثرة للحُب غير المتحقق، تدور أحداثها في عام 1880، على خلفية التغيير الاجتماعي المُذهل المُصاحب لقيام نظام ميجي. يجبر الفقرُ البطلة الشابة، أوتاما، أن تصبح عشيقة مرابٍ يحسب ويُخطط لكل خطوة، ولكن هذا الوضع المستقر ينقلب رأسًا",208
قلب الظلمات,جوزيف كونراد,2018,الكرمة للنشر والتوزيع,أدب,"• «من أهم 100 كتاب من كلاسيكيات الأدب» - التايمز• «من أعظم 25 رواية بريطانية» - البي بي سي• «من أفضل 100 رواية» - الجارديان• «من أكثر 100 رواية محبوبة في أمريكا» - بي بي إس• «من أفضل 100 رواية» - مودرن ليبراري• «كتاب جميل، وكتاب شجاع، وكتاب يجب أن يُقرأ في مواجهة فوضى هذا العالم» - «الني",212
طيف ألكسندر ولف,جايتو جازدانوف,2018,الكرمة للنشر والتوزيع,أدب,"«عملٌ به قوة عظيمة... لديَّ حدس بأن ما فيه سيبقى معك طيلة حياتك» - «الجارديان»«نثر مُحكمٌ، سريع الإيقاع» - «إندبندنت أون صنداي»«لُغز مُثير. إنه أكثر بكثير من قطعة فنية تاريخية، إنه عمل أدبي فاتن» - «أنطوني بيفر»«جيد بشكل استثنائي» - «ليتراري رفيو»«عمل «جازدانوف» مزيجٌ موفقٌ تمامًا من التقالي",128
صاحب المِلك: ملحمة أسر..,جون جالزورذي,2019,الكرمة للنشر والتوزيع,أدب,"• «لفنه الروائي المتميز الذي يأخذ شكله الأعلى في «ملحمة أسرة فورسايت»» - الأكاديمية السويدية - من حيثيات منح «جون جالزورذي» جائزة نوبل في الأدب عام 1932«صاحب الملك» هي الرواية الأولى في «ملحمة أسرة فورسايت»، أشهر ما كتب «جون جالزورذي»، الحاصل على جائزة نوبل في الأدب. تحوَّلت الملحمة إلى عدة أفلا",96
ظلام مرئي : مذكرات الج..,وليام ستايرون,2018,الكرمة للنشر والتوزيع,أدب,"«واحد من أفضل 100 كتاب في التاريخ»- «مودرن لايبرري»«تقشعر له الأبدان، لكنه مفعم بالأمل... منير... ساحر»- «شيكاجو صن-تايمز»«آسر... مروع... صورة حية لاضطراب منهك... يوفر العزاء لتجربة مشتركة»- «نيويورك تايمز»في صيف عام 1985، أحس الروائي الأمريكي الشهير «وليام ستايرون» بالشلل، من جراء",96
تقرير موضوعي عن سعادة..,هانس فالادا,2018,الكرمة للنشر والتوزيع,أدب,"«يستحق «فالادا» ثناءً عاليًا لكتابته عن الحياة بهذه الواقعية، وهذا الصدق، وهذا القرب» - «هرمان هسه»«يمكن اعتبار «فالادا» بطلًا، كاتبًا بطلًا بقي على قيد الحياة الوقت الكافي فقط لرد الضربة على ظالميه» - «ألان فورست»بصراحة مُؤثِّرة ومُبهرة قلَّ نظيرها في الأدب العالمي، يخبرنا «هانز فالادا» عن ال",96
رسائل إلى شاعر شاب,راينر ماريا ريلكه,2018,الكرمة للنشر والتوزيع,أدب رسائل,"لذلك، سيدى العزيز، لم أجد لك نصيحة إلا تلك: تعمَّق فى ذاتك وابحث فى أعماقها التى تنبع منها حياتك، ففى نبعها ستجد الإجابة عن السؤال ما إذا كان عليك أن تُبدع. خذها كما تبدو، من دون تأويل.ربما يتضح عندها أنك خُلقت لتكون فنانًا ... ستجد حياتك على أى حال من تلك اللحظة طُرقًا خاصة بها، وأتمنى ، أكثر م",32
أرض البشر,أنطوان دو سانت إكزوبيري,2018,الكرمة للنشر والتوزيع,أدب,"""الجائزة الامريكية القومية للكتاب"" 1939""من أفضل عشرة كتب مغامرات ورحلات فى التاريخ"" «ناشونال جيوجرافيك»""جائزة أفضل كتاب مغامرات فى المائة عامة الماضية"" 2002 مجلة «أوتسايد»""كتاب جميل، وكتاب شجاع، وكتاب يجب أن يقرأ فى مواجهة فوضى هذا العالم"" «نيويورك تايمز»""هناك بعض الأفراد النادرين، ا",32
مليون نافذة,جيرالد مرنين,2019,الكرمة للنشر والتوزيع,روايات,""" مليون نافذة"" تأمل مبهر في الكتابة الإبداعية بقلم أحد أهم كُتَّاب أستراليا، الذي يقدم هنا بحثًا رائعًا ومربكًا في أمجاد كتابة الرواية ومزالقها.هذه الرواية ليست للقارئ العادي، بل للقارئ المدقِّق الذي يجب تأمل مصائر الشخصيات الروائية، ومنطقية تسلسل الأحداث، ويهتم بكل ما هو أعمق من الحكاية البسيطة",12
الأمريكي الهادىء,جراهام جرين,2019,الكرمة للنشر والتوزيع,روايات,""" لم أعرف قطُ رجلاً كان لديه دوافع أفضل لكل المشاكل التي سببها""؛ هكذا يصف الراوي «فاولر» المبعوث الأمريكي «آلدن بايل»؛ المُسمَى""الأمريكي الهادئ"".«بايل» شاب مثالي أرسلته واشنطن في مهمة غامضة إلى فيتنام؛ حيث يحارب الجيش الفرنسي الفيتناميين. وبينما تؤدي سياسات «بايل» حسنة النية إلى إراقة الدماء؛ يج",16
كوكب الحياة الايجابية,خلود أحمد عماد الدين,2021,نشر إلكترونى,كتب متنوعة,"الكتاب بالعاميه ويتكلم هذا الكتاب عن 80% من كل تفصيلة في حياتنا تقريباً بطرق مختلفة وجديدة لجذب أي طلب تريده ولتعيش حياة مستقرة نفسية جميلة عشان كدة هَتلاقيه كبير وكتير فأنصحك ان تقرأ كل جزء في أيام مختلفة ، بإختصار هو كتاب من نوع جديد فهو ميكس من تنموي ،نفسي، إجتماعي، عاطفي ،ترفيهي، صحي، ثقافي ، عل",16
أكثر من واحد 2,يوسف هاني,2021,نشر إلكترونى,قصص قصيرة,تحتوى علي 4 قصص قصيره( أنتقام أكرم و أنتقام أكرم ( 2 ) )تحمل طابع كوميدى أكشن( لغز برديه ) تحمل طابع مغامره أكشن( الخلود ) تحمل طابع رعب,328
أربطة,دومينيكو ستارنونه,2019,الكرمة للنشر والتوزيع,روايات,"تعرَضت علاقة ""فاندا""و""آلدو"" الزوجية؛ على غرار كثير من العلاقات المماثلة؛ للمحن؛ والتآكل؛ وثقل الروتين. وعلى الرغم من ذلك فإنها استمرت سليمة – كما قد يبدو للوهلة الأولى. لكن شرخاً ظهر منذ زمن بعيد؛ ومع مرور الوقت أصبحت العلاقة تشبه إناء متشققاً قد يتحطم من أقل لمسة. وربما تحطم بالفعل؛ حتى إن لم يعترف",16
البحيرة السوداء,هيلا هاسه,2020,الكرمة للنشر والتوزيع,أدب,"في الطبيعة الخلابة لجزيرة جاو الإندونيسية يمضي صبيَّان طفولتيهما في استكشاف البحيرات الشاسعة والغابات الكثيفة. أحدهما ابن صاحب مزرعة هولندي، والآخر ابن خادم من سكان الجزيرة الأصليين. وإن كانت الصداقة الوثيقة التي تربط بين الصبيين تجهل، في بداياتها، طبيعة بلد وشعب مستعمر، فهي لن تكفي، وهما يكبران، لر",16
حلم,أرتور شنيتسلر,2020,الكرمة للنشر والتوزيع,أدب,"تحكي هذه النوفيلا المذهلة، الجميلة والقاسية في آنٍ، كيف أن اعترافًا بسيطًا بين زوج وزوجته، بنزوة جنسية عابرة، قادهما إلى عالَمين داخليَّين خاصَّين جدًا ومتنافسَين، مليئين بأحلام الانتقام، وكاد يؤدي بهما إلى الانفصال.«حُلم» نوفيلا نفسية عن الخيانة الزوجية، وخرق المحظور، والانحلال الأخلاقي، تدور أ",16
حرائق صغيرة في كل مكان,سيليست إنج,2020,الكرمة للنشر والتوزيع,روايات,"رواية محكمة، تتتبع المصائر المتشابكة لأفراد عائلة «ريتشاردسون» المثالية، والأم والابنة الغامضتين اللتين قلبتا حياتهم رأسًا على عقب.تكشف «حرائق صغيرة في كل مكان» وطأة الأسرار، وطبيعة الفن والهوية، والجاذبية العاتية للأمومة، وخطورة الاعتقاد بأن اتباع القواعد يمكن أن يجنبنا الكوارث.",16
نحن نعرف ما سيأتي,كريستا فولف,2020,الكرمة للنشر والتوزيع,أدب,"في بداية صيف 1804، جمع حفل اجتماعي أدبي الشاعرة الرومانسية «كارولينه فون جوندروده» (1780-1806) والكاتب المسرحي الشهير «هاينريش فون كلايست» (1777-1811)، أو كان من الممكن أن يجمعهما.تستند «كريستا فولف» إلى أجزاء من رسائل حقيقية لتتخيل لقاءً، لم يحصل في الواقع، بين كاتبَين يتشاركان الإحساس بالاغترا",16
الاعتذار,إيف إنسلر,2021,الكرمة للنشر والتوزيع,أدب,"مثل ملايين من النساء، انتظرت «إيف إنسلر» اعتذارًا فترة طويلة من حياتها.فقد اعتدى أبوها عليها جنسيًا وبدنيًا بشكل متكرر. وصارعت «إيف» آثار هذه الخيانة طوال حياتها، وهي تتوق إلى محاسبة صادقة لرجل مات منذ زمن. وبعد سنوات من العمل كناشطة مناهضة للعنف، قررت أنها ستكف عن الانتظار، وأنه يمكنها أن تتخيل",16
سولاريس,ستانيسواف لم,2021,الكرمة للنشر والتوزيع,أدب,"هذه الرواية الفلسفية الممتعة، و التي تُعَد من كلاسيكيات أدب الخيال العلمي، تدور حول العالِم ""كريس كلفين"" الذي يصل إلى محطة فضائية قرب كوكب ""سولاريس"" لدراسة المحيط الذي يغطي سطحه، فيضطر لمواجهة ذكرى مؤلمة تتجسد في شبيهة لحبيبته التي ماتت منذ زمن طويل. يعاني علماء آخرون في المحطة من العلة نفسها، وتزدا",16
جسور مقاطعة ماديسون,روبرت جيمس والر,2021,الكرمة للنشر والتوزيع,روايات,"""قصة حب آسرة وبسيطة، تقع في بلدة أمريكية صغيرة... قصة تبقى معك لأمدٍ طويل بعد أن تُنهي قراءة صفحتها الأخيرة متحسرًا لفراقها""- تِرانس ستامبإذا كنت قد جرَّبت وجود حب حقيقي وحيد في حياتك لم ينجح لسبب ما، فستفهم تأثر القرَّاء في جميع أنحاء العالم بهذه الرواية الصغيرة، الأولى لكاتبها، والتي تحوَّ",176
المنزل الريفي,أ.م. فورستر,2021,الكرمة للنشر والتوزيع,أدب,"كيف يمكن أن تتحول سرقة مظلة مطر رخيصة إلى مأساة؟فقط في الأدب الرفيع يمكن أن تتعرف على الحياة بوصفها سلسلة مترابطة من الأحداث، كما في هذه الرواية الممتعة التي وصفها مؤلفها بأنها أفضل رواياته، والتي يصفها النقاد طوال مائة عام بأنها ""تحفة ""فورستر"" الخالدة""، والتي لا يمكن للقارئ القول إنه يعرف الأدب",160
هو أنت: ثلاثية روح -..,رشا زيدان,2020,الكرمة للنشر والتوزيع,روايات,«اختياراتك لحياتك هي فعلًا صحيحة ولكن هناك اختيارات أخرى صحيحة أيضًا... بدائل قد تكون أنسب بحسب الوقت والظروف... فهل ستختارين أن تكملي طريقك بنفس الاختيارات الآمنة التي سكنتي إليها وتعودتي آلامها أم سوف تختارين اختيارات أخرى بها قدر من المغامرة؟»في هذا الجزء الثالث والأخير من «ثلاثية روح» تقف رو,18
لكَ وحدَك : ثلاثية روح..,رشا زيدان,2018,الكرمة للنشر والتوزيع,روايات,"«أما نور فكان يجلس في مقابلتها في القاعة، ينظر إليها بإعجاب، ولا يحرك عينيه عنها، ولا يشغله أيٌّ من الطقوس المقامة. كان يراها لأول مرَّة بردائها الأخضر، متألقة وسعيدة، تتمايل بجسدها الضئيل مع الأغنيات في رقة وهدوء، وكلما تمايلت تمايل قلبه معها يمينًا ويسارًا، إلى أن تمايلت مرَّة وسقط عنها شالها الحر",18
روح : ثلاثية روح - ج1,رشا زيدان,2015,الكرمة للنشر والتوزيع,روايات,"تدور أحداث هذه الرواية حول «روح» وأصدقائها: المغني الصوفي «براء»، والكاتب «نور» وزوجته المغربية «حياة»، وصديقتهم الجديدة «رشا» التي يفتحون لها طاقات الارتقاء الصوفي والسمو الروحي.تمر «روح» بعذاب تجربة حب مستحيل مع من تهواه، وتعيش صراعًا مزلزلًا بين ما يريده المرء وما ليس مسموحًا له به. فما مصير",126
الخروج من البلاعة,نائل الطوخي,2018,الكرمة للنشر والتوزيع,روايات,"(( ما يمكنني قوله إن قصتي بدأت هنا، في هذه الأيام بالتحديد، قصتي التي لن يصدقها أحد ممن يرون بعيونهم وليس بقلوبهم، قصتي التي أنضجتني على نار هادئة ورمت بي رغيفًا طازجًا أمام الدنيا، أتحدى عفانة العالم وحشراته ونفاقه، أتحدى البشر الجالسين في البلاعة ولا يريدون مغادرتها، وأوهب الجمال للدنيا، أيوه، أوه",502
أحمر لارنج,شارل عقل,2020,الكرمة للنشر والتوزيع,روايات,"موسيقي ""الجاز الانطباعية"" هي موجة مصرية ما بعد بعد حداثية، وضعتها حفنة من الموسيقيين التجريبيين في مطلع الألفية، بعضهم من غير المتخصصين أو ذوي المرجعيات الأكاديمية. ضاع معظم أعمال هذه الموجة في فجوة زمنية في أثناء انتقال صناعة الموسيقى ما بين الأنالوج والديجتال. ما بين عامي 2005،2009 كانت آليات الت",122
النظرة الأخيرة,دينا طاهر,2020,الكرمة للنشر والتوزيع,روايات,"«خالد حكالي بعد ما اتجوزنا بكذا سنة إنه أخد قرار جوازه مني في اللحظة دي، لحظة ما قلتله بمنتهى الثقة بنفسي إني قبلت عرضه الوحيد اللي ما توقعهوش أبدًا. قالي: «شُفت فيكِ كل حاجة كنت بادوَّر عليها في كل ست قابلتها في حياتي». كان بيقولي: «إنتِ ست بسيطة، لكن دايمًا أنيقة وجميلة ومهندمة، جميلة الملامح والخ",468
لن نصنع الفلك,بلال علاء,2020,الكرمة للنشر والتوزيع,أدب,"انزلقنا إلى الدوائر الخاطئة في الأوقات الصحيحة، ثم عدونا إلى الدوائر الصحيحة في الأوقات الضائعة، لم نكن يومًا إلا غرباء أو متأخرين، تعوزنا الحماسة، أو تنقصنا المعركة، تفوتنا لحظات الذروة، لخوف مرضي من الزيف، أو لنقص وراثي في المشهدية، أحببنا من كان ينبغي أن نحبهم، وقت أن كنا من لا يجب أن نكون، ثم أح",334
في غرفة الكتابة,محمد عبد النبى,2021,الكرمة للنشر والتوزيع,نصوص,"يأخذنا الكاتب محمد عبد النبي (القائمة القصيرة لجائزة بوكر العربية، جائزة ساويرس الأدبية، جائزة معهد العالم العربي في باريس) إلى غرفة الكتابة، لنستكشف معه فيها جوانب أخرى للأدب، من زوايا غير مباشرة، وبعيدة قليلًا عن مَطالب التقنية والحِرفة، مثل: كيف تتشكل ذائقتنا الأدبية عبر القراءة؟ وما دور التذكر و",236
ويسترن يونيون فرع الهر..,مصطفى إبراهيم,2020,الكرمة للنشر والتوزيع,شعر,"""وقعت عيناي على ديوان شعبي بالعامية المصرية عنوانه"".""ويسترن يونيون فرع الهرم""، والشاعر اسمه «مصطفى إبراهيم».. أخذت الديوان فلم أستطع أن أتركه من يدي لدرجة أنني حين دخلت إلى الحمَّام أخذته معي..أنا باعتبر نفسي لقيت كنز سيدنا سليمان، واللي مش عاجبه يدور له على كنز تاني"". «أحمد فؤاد نجم» «13أغط",18
الزمن,مصطفى إبراهيم,2020,الكرمة للنشر والتوزيع,شعر,في هذا الديوانأسأل وأُجيبأُخطئ وأُصيبوأعني ما أقولوأقول ما أعنيفدعني,18
154طريقة لقول أفتقدك,شيرين سامى,2019,الكرمة للنشر والتوزيع,أدب,يهمس الرجال بينهم عن سحر المرأة التي تتتبع القمر. يكتبون لها الأغاني؛ ويتلون الأشعار على أعتابها. ثم يبحثون مع طلوع الشمس عن امرأة تتتبع الواقع وأخباره؛ والطحين وأسعاره؛ وتنظر بوله إلى بيت دافئ وطفل صغير. لأنك لست مثلهم.. أفتقدك.,122
الحجرات,شيرين سامى,2021,الكرمة للنشر والتوزيع,روايات,"هل يمكن أن نستيقظ يومًا، فنكاد لا نتعرف على أنفسنا أو على حياتنا؟ تجوب بنا هذه الرواية الآسرة مناطق غير مطروقة في مسارات الحُب والمحبين، نتنقل بين الجدران المتنوعة التي تحيط بحياتنا وترسم حدودها، وندخل الحجرات التي تنغلق على أسرار يحتويها كل بيت.«في عائلتنا النساء مختلفات، حتى يتزوجن»؛ حقيقةٌ قر",18
حبيبة كما حكاها نديم,محمود عبد الشكور,2021,الكرمة للنشر والتوزيع,روايات,"تنفتح هذه الرواية على حكايتين وتجربتين، طارحةً أسئلة صعبة ومعلَّقة، عن الحب والصداقة، العاطفة والعقل، الفن والواقع، القدر والاختيار، ومقتفيةً أثر الخط الواصل بين ابن حزم وآلام فيرتر والواتس والفيسبوك، ومعلنة الحيرة بسبب تقلب العواطف والأهواء، ومتوجسةً من سيناريو غامض، يُكتب في مكان آخر، بينما نتوهم",168
