الكتب,الكاتب,سنة النشر,دار النشر,قسم الكتاب,تلخيص الكتاب,عدد الصفحات
غبار ونجوم,يوسف فاضل,2021,منشورات المتوسط,روايات,"تدفعك الرواية التي بين يديك ، إلى التساؤل أيهُمَا أفضل: الحلمُ المتفائلُ أو الكابوسُ المزعج؟ سيبدو الأمر في البدايةِ محسوماً حتّى وإن تنبَّأت الأبراجُ الفلكيَّةُ بعكسِهِ. لكنَّك مع كوثر وتمَسُّكِها المحموم بحبِّها الأوَّل زكريا ، وبحثِها عنه ، ومحاولة استعدتِه بلعد أن خطفَ إله أن خطفَ إقله أن خن ف س",150
المئذنة البيضاء,يعرب العيسى,2021,منشورات المتوسط,روايات,"للأماكن كما للبشر والسلالات، أقدارها، وظائف مكتوبة في اللوح المحفوظ. لذلك تجري الأشياء حولها بطريقة تبدو غير منطقية أحيانا، فالقدر، ودون أن يضطر للإفصاح عن خططه المستقبلية، يدفع بالأماكن كي تحقق ما يريده هو. وله وحده اختيار الزمن المناسب.",223
الهروب من الذاكرة,إبراهيم عبد المجيد,2021,منشورات المتوسط,روايات,"ثلاثيةٌ روائيَّة مُلهِمَةٌ، تفسحُ المجالَ لسَرْدٍ يُزعزعُ الكثيرَ من المُسلَّمات، وما يجعلُ مُدناً بأكملها ترزحُ تحتَ قبضةِ الخوفِ من التاريخِ الذي يعيدُ أحداثَهُ. فما نهربُ منهُ، نجدهُ أمامَنا، يُكبِّلنا، ويحاصرُ أرواحنا. ولا خلاصَ بين يمينٍ ويسار، بين مأساةٍ وملهاة، بين ذاكرةٍ ومحاولة نسيان؛ إلَّا",382
بنات عائلات محترمات,محمد شريف,2021,نشر إلكترونى,قصص قصيرة,"نبذة عن كتاب بنات عائلات، هو مجموعة قصص قصيرة يجمعها رابط واحد",478
من روائع القصص ألف ليل..,لؤي حياتلي,2020,دار إرشاد للنشر والتوزيع,قصص الأطفال,"يعتبر هذا الكتاب من أشهر الكتب النثرية والحكايات العالمية الموجهة للأطفال، ألف من قبل مجموعة من الأشخاص، يتضمن باقة منوعة من القصص والحكايات الشعبية والمستوحاة من وحي الخيال التي سادت في العالم القديم وعرفت بالوسط العربي، ويعد أشهرها قصة الملك شهريار وشهرزاد، ونجد هذه القصص مليئة بالعبر والحكم ليستف",446
ما انا فيه,أحمد الشهاوي,2020,المصرية اللبنانية للنشر والتوزيع,شعر,"يدخلُ أحمد الشَّهاوي في كتابه ” ما أنا فيه ” تجربةً جديدةً وصعبةً، ومُغامرةً مُربكةً ، حيثُ الصمتُ فيها أبلغُ وأكثرُ من الكلام ، وحيثُ حريةُ الرُّوح أعلى في الكشْفِ والهتْكِ والاعتراف ، إذْ يتركُ الرُّوح – التي تُقَاتلُ عَدُوًّا في الخيال – تكتبُ أحوالَها ، وتُسْمِعُ أصواتَها ، وتُنْشِدُ هواجسَها",344
كل ما تحتاج معرفته عن..,بيتر جبسون,2020,دار الكتب العلمية,فلسفة,"مقدمة مثالية للطلاب والقراء غير المتخصصين على حد سواء ، فكل ماتحتاج معرفته عن الفلسفة يوفره لك هذا الكتاب ، إذ ستجد جميع المفاهيم التي تحتاجها لفهم القضايا الاساسية في الفلسفة .كتاب مليء بالمخططات المفيده واقتراحات القراءة الاثرائية ، واللمحات السهلة الفهم حول تاريخ الفلسفة ، مايجعل تعلم الموضوع ا",625
كل ماتحتاج معرفته عن ع..,ستن اودنوالد,2020,دار الكتب العلمية,علوم طبيعية,"يمثل هذا الكتاب مقدمة متكاملة للطلبة وغير الطلبة، إذ يزودك بكل المفاهيم التي تحتاجها لفهم كل ما يتعلق بالكون. هذا الكتاب مليء بمخططات مفيدة وفصول تاريخية سهلة الفهم، مما يسهل فهم عمل الكون أكثر من أي طرح سابق يصف هذا الكتاب أهم الأفكار في مجال الكون، منها النظرية النسبية العامة ونظرية النموذج القياس",103
كل ما تحتاج معرفته عن..,آلان بورتر,2020,دار الكتب العلمية,علم نفس,كل مايخص علم النفس من البداية حتى الاتقتان,167
سنوات التكوين,جاك لندن,2021,الرافدين للنشر والتوزيع,سيرة,"جسدت حياة لندن التحديث المحموم لأمريكا في الفترة بين نهاية الحرب الأهلية وبداية الحرب العالمية الأولى. بفضل تعطشه للمغامرة، وقصة نجاحه من الفقر إلى الثراء، وأفكاره السياسية التقدمية، عكس لندن في قصصه صورة أصيلة لتشكل الأمة الأمريكية، وتحولها إلى قوة عالمية وحضارة صناعية.ولأنه كاتب بعين ثاقبة وإحساس",116
